factor_category,rq1_count,representative_rank,candidate_id,project,repo,source_type,number,title,url,evidence_role,primary_deviation_symptom,primary_affected_phase,symptom_evidence_quote,factor_evidence_quote,phase_evidence_quote
action_controller_interface,34,1,github_issue::mani-skill/ManiSkill::925,ManiSkill,mani-skill/ManiSkill,issue,925,InspireHand Simulation in ManiSkill Leads to NaN Positions or has up to 1 degree of error,https://github.com/mani-skill/ManiSkill/issues/925,deviation_and_factor,rollout_behavior_anomaly,rollout_execution,the fingers fly to NaN positions,There is a small issue with how we sent joint signals to the physx engine.,sampling random actions
action_controller_interface,34,2,github_issue::isaac-sim/IsaacLab::911,Isaac Lab,isaac-sim/IsaacLab,issue,911,[Bug Report] Ik Absolute seems to not work properly with rotated base frame,https://github.com/isaac-sim/IsaacLab/issues/911,deviation_and_factor,rollout_behavior_anomaly,rollout_execution,the rotation seems to cause the robot unable to track the target pose stably,We don't read the robot's base pose for adjusting the geometric Jacobian and end-effector targets.,step constant action in robot base frame
action_controller_interface,34,3,github_issue::mani-skill/ManiSkill::252,ManiSkill,mani-skill/ManiSkill,issue,252,Bounds for action space,https://github.com/mani-skill/ManiSkill/issues/252,deviation_and_factor,success_rate_drop_or_mismatch,rollout_execution,It performs very well on my split of tfds train/val set but is doing really bad in maniskill2 virtual environment.,"in the current tfds maniskill dataset, we don't decouple translation and rotation actions when calculating the new tcp pose, while for other parts of the open-x-embodiment datas...",doing really bad in maniskill2 virtual environment
checkpoint_config_compatibility,28,1,github_issue::huggingface/lerobot::1406,LeRobot,huggingface/lerobot,issue,1406,PI0 policy suffers from weight/key mismatch on main when using transformers ≥ 4.52.0,https://github.com/huggingface/lerobot/issues/1406,deviation_and_factor,success_rate_drop_or_mismatch,checkpoint_or_config_loading,my trained pi0 is not work at well (sr=0).,"caused this bug. It will convert ""^language_model.model"" to ""model.language_model"" and so on.","kwargs[""strict""] = True in Line 168, lerobot/common/policies/factory.py"
checkpoint_config_compatibility,28,2,github_issue::huggingface/lerobot::2246,LeRobot,huggingface/lerobot,issue,2246,lerobot-eval run with exception:,https://github.com/huggingface/lerobot/issues/2246,deviation_and_factor,evaluation_crash_or_failure,rollout_execution,ValueError: All image features are missing from the batch. At least one expected.,"I take latest lerobot and revert the #1771 PR, and it work in this setup without the workaround.",action = policy.select_action(observation)
checkpoint_config_compatibility,28,3,github_issue::huggingface/lerobot::674,LeRobot,huggingface/lerobot,issue,674,Can't evaluate the pretrained model due to draccus parser.,https://github.com/huggingface/lerobot/issues/674,deviation_and_factor,evaluation_crash_or_failure,checkpoint_or_config_loading,Can't evaluate the pretrained model due to draccus parser.,We didn't push the pretrained models on the hub yet so it's pulling the old versions which don't work with this new config system.,pulling the old versions
reset_or_initial_state,28,1,github_issue::Farama-Foundation/Metaworld::39,MetaWorld,Farama-Foundation/Metaworld,issue,39,All environments produce observations outside of observation space.,https://github.com/Farama-Foundation/Metaworld/issues/39,deviation_and_factor,evaluation_crash_or_failure,rollout_execution,all of the environments produce observations outside of their observation space,the initial object and goal positions are generated uniformly between the bounds of the observation space,makes the environment incompatible with such libraries
reset_or_initial_state,28,2,github_issue::ARISE-Initiative/robosuite::787,robosuite,ARISE-Initiative/robosuite,issue,787,Corrupted / garbled camera images when using Gymnasium SyncVectorEnv with robosuite,https://github.com/ARISE-Initiative/robosuite/issues/787,deviation_and_factor,success_rate_drop_or_mismatch,environment_reset,all of my vision-based policy's success rate jumped up significantly,Setting hard_reset=False resolves the issue,the image observations returned ... are corrupted
reset_or_initial_state,28,3,github_issue::Farama-Foundation/Metaworld::24,MetaWorld,Farama-Foundation/Metaworld,issue,24,ML1 Tasks for Constant Goals,https://github.com/Farama-Foundation/Metaworld/issues/24,deviation_and_factor,reproduction_failure,environment_reset,"According to the paper, each task in ML1 should have a single goal.",a small fix: `args_kwargs[task_name]['kwargs']['random_init'] = False ` in ml1.py. That ensures that initial state and goal position are constant upon calling `env.reset()`.,"However, when the environment is reset, `self._state_goal` is initially `self.goal` but is then assigned a randomly generated goal + a concatenation of initial reacher arm posit..."
observation_sensor_preprocessing,27,1,github_issue::mani-skill/ManiSkill::93,ManiSkill,mani-skill/ManiSkill,issue,93,The score on leaderboard is 0 under 'env_name=OpenCabinetDoor-v1',https://github.com/mani-skill/ManiSkill/issues/93,deviation_and_factor,success_rate_drop_or_mismatch,observation_processing,"but when I uploaded it to the leaderboard, the score showed 0",the user_solution.py file creates a dummy environment to process observations which includes adding the base_pose. This dummy environment is not the actual environment so there...,the user_solution.py file creates a dummy environment to process observations which includes adding the base_pose. This dummy environment is not the actual environment so there...
observation_sensor_preprocessing,27,2,github_issue::mani-skill/ManiSkill::101,ManiSkill,mani-skill/ManiSkill,issue,101,Errors about training with Soft-body,https://github.com/mani-skill/ManiSkill/issues/101,deviation_and_factor,success_rate_drop_or_mismatch,observation_processing,"when running within the Docker image (using the latest version of ManiSkill2), the score is 0",the user_solution.py file creates a dummy environment to process observations which includes adding the base_pose... this dummy environment is not the actual environment so ther...,process observations
observation_sensor_preprocessing,27,3,github_issue::huggingface/lerobot::1007,LeRobot,huggingface/lerobot,issue,1007,"When evaluating pi0, the batch does not contain a 'task' key.",https://github.com/huggingface/lerobot/issues/1007,deviation_and_factor,evaluation_crash_or_failure,rollout_execution,the batch does not contain a 'task' key.,"Add this to line 254 in control_loop lerobot/common/robot_devices/control_utils.py observation.update({""task"":[single_task]})","When evaluating pi0, the batch does not contain a 'task' key."
seed_or_randomness,22,1,github_issue::Farama-Foundation/Metaworld::555,MetaWorld,Farama-Foundation/Metaworld,issue,555,[Question] why does reset not use the seed argument?,https://github.com/Farama-Foundation/Metaworld/issues/555,deviation_and_factor,evaluation_instability_or_flakiness,environment_reset,this actually resulted in having different variations during each eval.,"However, if you call `reset(seed=seed)` you seed numpy separately (within the environment itself) which differs from the finite set of variations created at initialization.","obs,info = env.reset(seed[i])"
seed_or_randomness,22,2,github_pr::Farama-Foundation/Metaworld::370,MetaWorld,Farama-Foundation/Metaworld,pr,370,Add an option to control rand_vec using a seed instead of the task,https://github.com/Farama-Foundation/Metaworld/pull/370,deviation_and_factor,evaluation_instability_or_flakiness,environment_reset,The scripted policy + noise tests need to be reworked to be less flaky,"adds a new field, `seeded_rand_vec`, that allows for the desired behavior",the only randomness in each environment is the initial state derived from those state objects
seed_or_randomness,22,3,github_issue::Farama-Foundation/Metaworld::437,MetaWorld,Farama-Foundation/Metaworld,issue,437,"Although seed is fixed, the randomness is still out of control.",https://github.com/Farama-Foundation/Metaworld/issues/437,deviation_and_factor,evaluation_instability_or_flakiness,environment_reset,"Although seed is fixed, the randomness is still out of control.","If you're using an environment within one of the benchmarks (ie MT10, or ML1) then you need to seed the creation of the benchmark not the individual environment. When you create...","obs, _ = env.reset(seed=seed)"
object_scene_task_initialization,14,1,github_issue::mani-skill/ManiSkill::892,ManiSkill,mani-skill/ManiSkill,issue,892,The issue about trajectory replay.,https://github.com/mani-skill/ManiSkill/issues/892,deviation_and_factor,success_rate_drop_or_mismatch,environment_reset,"Replayed 100 episodes, 0/100=0.00% demos saved.","The environment states do not encode object geometry like object scale, it only ensures the poses are the same.",I performed random initialization of the poses for both the Panda robotic arm and the object at the start of each trajectory.
object_scene_task_initialization,14,2,github_issue::Farama-Foundation/Metaworld::376,MetaWorld,Farama-Foundation/Metaworld,issue,376,random_init flag is broken and should be removed,https://github.com/Farama-Foundation/Metaworld/issues/376,deviation_and_factor,evaluation_crash_or_failure,rollout_execution,setting `rand_init` to False and then resetting the environment would lead to the following error when calling `step()`:,This is because the `reset()` function of these environments sets `self.obj_init_pos` to `self.adjust_initObjPos(self.init_config['obj_init_pos'])` when `self.random_init` is False,when calling `step()`:
object_scene_task_initialization,14,3,github_issue::haosulab/ManiSkill-Learn::6,ManiSkill-Learn,haosulab/ManiSkill-Learn,issue,6,Facing an error when evaluating on PushChair environment,https://github.com/haosulab/ManiSkill-Learn/issues/6,deviation_and_factor,evaluation_crash_or_failure,rollout_execution,error occurred during the evaluation of the PushChair environment,the error may come from the incomplete PartNet Mobility file under the running folder,error occurred during the evaluation of the PushChair environment
evaluation_protocol_metric,13,1,github_pr::Farama-Foundation/Metaworld::475,MetaWorld,Farama-Foundation/Metaworld,pr,475,"Type hints, docstrings & refactor",https://github.com/Farama-Foundation/Metaworld/pull/475,deviation_and_factor,reward_score_metric_mismatch,metric_computation,"With info comparison enabled, it expectedly fails at 5000 steps because `grasp_success` now correctly turns to `1.0` since it can actually correctly process whether the arm is t...","This means that those envs indeed did not have correct reward calculation before, from what I understand.","With info comparison enabled, it expectedly fails at 5000 steps"
evaluation_protocol_metric,13,2,github_issue::Farama-Foundation/Metaworld::50,MetaWorld,Farama-Foundation/Metaworld,issue,50,Evaluation Protocol,https://github.com/Farama-Foundation/Metaworld/issues/50,deviation_and_factor,success_rate_drop_or_mismatch,benchmark_or_eval_setup,I am trying to reproduce the results of your paper and it seems MAML requires much more samples than 2M.,"The proper way to count TotalEnvSteps is to include all calls to step() generated by the algorithm during training, so outer+inner loop.","The proper way to count TotalEnvSteps is to include all calls to step() generated by the algorithm during training, so outer+inner loop."
evaluation_protocol_metric,13,3,github_issue::Farama-Foundation/Metaworld::208,MetaWorld,Farama-Foundation/Metaworld,issue,208,Why is len(ml1.test_tasks) = 50 and not 10?,https://github.com/Farama-Foundation/Metaworld/issues/208,deviation_and_factor,reproduction_failure,benchmark_or_eval_setup,Why is len(ml1.test_tasks) = 50 and not 10?,ML1.test_tasks should only be 10.,len(ml1.test_tasks) == 50
training_evaluation_interaction,13,1,github_issue::mani-skill/ManiSkill::882,ManiSkill,mani-skill/ManiSkill,issue,882,[Question] Reproducing Diffusion Policy Performance in PushT-v1 environment,https://github.com/mani-skill/ManiSkill/issues/882,deviation_and_factor,success_rate_drop_or_mismatch,training_eval_boundary,"The trained model exhibits poor success rates, ranging between 0.15 and 0.2","If you run the provided script directly, it sets demos=100 by default, meaning only 100 demonstrations are used for DP training.",
training_evaluation_interaction,13,2,github_issue::openvla/openvla::112,OpenVLA,openvla/openvla,issue,112,Details of the finetuning settings for the LIBERO task,https://github.com/openvla/openvla/issues/112,deviation_and_factor,success_rate_drop_or_mismatch,benchmark_or_eval_setup,"I finetuned both the object and spatial datasets, but neither achieved the results in the paper.",Solved the plateau issue by increasing the learning rate to 1e-4.,
training_evaluation_interaction,13,3,github_issue::mani-skill/ManiSkill::1016,ManiSkill,mani-skill/ManiSkill,issue,1016,Push Cube Reward Does Not Penalize Z Axis When Success == False,https://github.com/mani-skill/ManiSkill/issues/1016,deviation_and_factor,rollout_behavior_anomaly,rollout_execution,"the success rate was 0% for the Drq-V2 (eval) video example I posted, this means that all rollouts have the robot bring the cube above the target.",the reward does not seem to use the z axis when success == False which could encourage the sub-optimal behavior.,the success rate was 0% for the Drq-V2 (eval) video example
data_dataset_format,12,1,github_issue::facebookresearch/habitat-sim::692,Habitat-Sim,facebookresearch/habitat-sim,issue,692,Math::Vector::projectedOntoNormalized nan's,https://github.com/facebookresearch/habitat-sim/issues/692,deviation_and_factor,evaluation_crash_or_failure,rollout_execution,"Math::Vector::projectedOntoNormalized(): line Vector(-nan, -nan, -nan) is not normalized",There's an episode with an inf's for the starting position.,outputs = self.envs.step([a[0].item() for a in actions])
data_dataset_format,12,2,github_issue::openvla/openvla::304,OpenVLA,openvla/openvla,issue,304,OPENVLA finetuned on custom dataset have very low performance,https://github.com/openvla/openvla/issues/304,deviation_and_factor,success_rate_drop_or_mismatch,rollout_execution,"the robot still can't seem to grasp and move the cube to the tray, some occasions it can grasp the cube, and sometimes it can grab and put the cube inside the tray (very low suc...",I found out the problem was because there are 2 consecutive frames of image observation with the same robot states.,"for the inference, the robot still can't seem to grasp and move the cube to the tray"
data_dataset_format,12,3,github_pr::facebookresearch/habitat-lab::539,Habitat-Lab,facebookresearch/habitat-lab,pr,539,NAV-PACMAN baseline implementation for EQA,https://github.com/facebookresearch/habitat-lab/pull/539,deviation_and_factor,evaluation_crash_or_failure,data_loading_or_decoding,IndexError: index 94 is out of bounds for axis 0 with size 93,this is because the code is using the old cached dataset – the logic for writing which has been updated.,During evaluating the nav-pacman model
ci_regression_evaluation,2,1,github_issue::mani-skill/ManiSkill::77,ManiSkill,mani-skill/ManiSkill,issue,77,Errors while creating submissions,https://github.com/mani-skill/ManiSkill/issues/77,deviation_and_factor,success_rate_drop_or_mismatch,benchmark_or_eval_setup,"But when I submitted the docker image to the leaderboard, my score was 0. The weird thing is that the model I employed is the official `.ckpt` ... and when I tested the docker i...",we have discovered the bug. The evaluation system has been updated now.,The evaluation system has been updated now.
ci_regression_evaluation,2,2,github_pr::allenai/vla-evaluation-harness::46,vla-evaluation-harness,allenai/vla-evaluation-harness,pr,46,ci: lfs checkout for pages / update-data workflows,https://github.com/allenai/vla-evaluation-harness/pull/46,deviation_and_factor,evaluation_crash_or_failure,ci_or_regression_testing,scan.py's `json.loads` blew up on the pointer text.,checked out without `lfs: true` → got a pointer file,The Deploy Leaderboard workflow checked out without `lfs: true`
