candidate_id,project,repo,source_type,number,state,title,url,evidence_role,primary_deviation_symptom,primary_factor_category,primary_affected_phase,deviation_symptoms,factor_categories,affected_phases,symptom_evidence_quote,factor_evidence_quote,phase_evidence_quote,created_at,updated_at,closed_at,comment_count
github_issue::huggingface/lerobot::2457,LeRobot,huggingface/lerobot,issue,2457,open,Groot n1.5 has a very low success rate on libero_goal.,https://github.com/huggingface/lerobot/issues/2457,deviation_only,rollout_behavior_anomaly,unknown_or_not_specified,rollout_execution,success_rate_drop_or_mismatch;rollout_behavior_anomaly,unknown_or_not_specified,benchmark_or_eval_setup;rollout_execution,the model seems to completely misunderstand the task description and instead performs actions that grab other objects.,,"The task is ""open the middle drawer of the cabinet"", but the model seems to completely misunderstand the task description and instead performs actions that grab other objects.",2025-11-17T12:26:00Z,2026-03-27T07:05:21Z,,3
github_issue::huggingface/lerobot::2407,LeRobot,huggingface/lerobot,issue,2407,open,Multi-GPU training with accelerate，but on one gpu,https://github.com/huggingface/lerobot/issues/2407,factor_only,unknown_or_not_applicable,evaluation_script_harness,training_eval_boundary,unknown_or_not_applicable,evaluation_script_harness,training_eval_boundary,,I found that using accelerate for multi-gpu training with evaluation arguments causes this issue. Removing the following arguments in the training script resolved it for me: --env.type=libero --env.task=libero_10 --eval_freq=2000 --eval.batch_size=1 --eval.n_episodes=1,,2025-11-07T16:08:35Z,2026-02-27T16:18:41Z,,5
github_issue::huggingface/lerobot::2731,LeRobot,huggingface/lerobot,issue,2731,closed,Evaluation of Policies on Libero,https://github.com/huggingface/lerobot/issues/2731,deviation_and_factor,evaluation_crash_or_failure,checkpoint_config_compatibility,checkpoint_or_config_loading,evaluation_crash_or_failure,checkpoint_config_compatibility,checkpoint_or_config_loading,"ValueError: Feature mismatch between dataset/environment and policy config. - Missing features: ['observation.images.top', 'observation.images.wrist'] - Extra features: ['observation.images.image', 'observation.images.image2']","You should put the rename map also during evalaution, that's becasue your smolvla checkpoint take as input observation.images.image and observation.images.wrist_image, whereas libero env gives to your policy image observation as observation.images.image and observation.images.image2.",INFO 2025-12-29 17:32:54 bot_eval.py:514 Making policy.,2025-12-29T09:34:33Z,2026-02-27T14:44:55Z,2026-02-27T14:37:57Z,5
github_issue::huggingface/lerobot::2114,LeRobot,huggingface/lerobot,issue,2114,closed,Fine-tuned π0 and π0.5 models fail to replicate reported success rates on LIBERO benchmark,https://github.com/huggingface/lerobot/issues/2114,deviation_and_factor,success_rate_drop_or_mismatch,evaluation_script_harness,rollout_execution,success_rate_drop_or_mismatch,evaluation_script_harness,rollout_execution,The performance of them is lower than the success rates reported,"By using --policy.n_action_steps=10 for π0.5, I could almost replicate the reported score !",,2025-10-04T13:40:11Z,2026-01-16T11:58:35Z,2025-10-07T19:57:36Z,8
github_issue::huggingface/lerobot::502,LeRobot,huggingface/lerobot,issue,502,open,Low accuracy for diffusion policy+aloha env+sim_transfer_cude_human dataset,https://github.com/huggingface/lerobot/issues/502,deviation_and_factor,success_rate_drop_or_mismatch,observation_sensor_preprocessing,rollout_execution,success_rate_drop_or_mismatch;rollout_behavior_anomaly,observation_sensor_preprocessing,observation_processing;rollout_execution,the evaluation accuracy is only 2%-6%,"Besides, change the cropping method to centered cropping, and you will find that everything works properly.",the EE always tries to clip a wrong position.,2024-11-08T02:20:14Z,2026-01-14T10:54:28Z,,25
github_issue::huggingface/lerobot::1951,LeRobot,huggingface/lerobot,issue,1951,open,Training pi0 in aloha sim got 0% success rate,https://github.com/huggingface/lerobot/issues/1951,deviation_only,rollout_behavior_anomaly,unknown_or_not_specified,rollout_execution,rollout_behavior_anomaly,unknown_or_not_specified,rollout_execution,"For all of the eval results, the arm's got jerky movements and is not able to pick up any objects.",,"For all of the eval results, the arm's got jerky movements and is not able to pick up any objects.",2025-09-16T10:06:57Z,2025-11-27T14:43:21Z,,5
github_issue::huggingface/lerobot::2134,LeRobot,huggingface/lerobot,issue,2134,closed,what is the transformers version for latest lerobot pi0?,https://github.com/huggingface/lerobot/issues/2134,deviation_and_factor,evaluation_crash_or_failure,dependency_runtime_environment,runtime_or_dependency_setup,evaluation_crash_or_failure,dependency_runtime_environment,runtime_or_dependency_setup,"ValueError: An incorrect transformer version is used, please create an issue on https://github.com/huggingface/lerobot/issues",missing the 'check.py' ... install the version of transformers exactly by pip install '.[pi]',"File ""/cephfs/yuanpuzhen/project/pi_space/lerobot/src/lerobot/scripts/lerobot_eval.py"", line 495, in eval_main",2025-10-07T12:06:52Z,2025-11-14T20:04:50Z,2025-10-07T16:50:31Z,5
github_issue::huggingface/lerobot::745,LeRobot,huggingface/lerobot,issue,745,closed,Error occured during evaluate phase,https://github.com/huggingface/lerobot/issues/745,deviation_only,evaluation_crash_or_failure,unknown_or_not_specified,rollout_execution,evaluation_crash_or_failure,unknown_or_not_specified,rollout_execution,KeyError: 'task',,Eval policy at step 1,2025-02-18T12:24:43Z,2025-10-19T02:32:19Z,2025-10-19T02:32:19Z,6
github_issue::huggingface/lerobot::952,LeRobot,huggingface/lerobot,issue,952,closed,PI0 Evaluation results on LIBERO is very low,https://github.com/huggingface/lerobot/issues/952,deviation_only,success_rate_drop_or_mismatch,unknown_or_not_specified,benchmark_or_eval_setup,success_rate_drop_or_mismatch,unknown_or_not_specified,benchmark_or_eval_setup,"the success rate is just 41.8%, which is far from the results 98.8% from openpi",,,2025-04-08T08:31:26Z,2025-10-08T08:43:42Z,2025-10-08T08:43:42Z,28
github_issue::huggingface/lerobot::259,LeRobot,huggingface/lerobot,issue,259,closed,when will other models be added ?,https://github.com/huggingface/lerobot/issues/259,deviation_and_factor,success_rate_drop_or_mismatch,simulator_physics_rendering,benchmark_or_eval_setup,success_rate_drop_or_mismatch;reproduction_failure,simulator_physics_rendering;unknown_or_not_specified,benchmark_or_eval_setup;environment_reset,"we actually haven't been able to reproduce, falling about 5% short",since then we've migrated the xarm env and we've been having compatibility issues because of it (the dataset doesn't exactly produces the same outcomes in the new version of the env),,2024-06-11T10:24:55Z,2024-07-05T12:05:54Z,2024-07-05T12:05:54Z,3
github_issue::huggingface/lerobot::2980,LeRobot,huggingface/lerobot,issue,2980,open,Async inference behaves differently between migrated older models and newly trained models,https://github.com/huggingface/lerobot/issues/2980,deviation_and_factor,success_rate_drop_or_mismatch,observation_sensor_preprocessing,observation_processing,success_rate_drop_or_mismatch,observation_sensor_preprocessing;checkpoint_config_compatibility,observation_processing;rollout_execution,Async inference shows significantly lower success rates.,"In the async path, the camera image appears to be resized to match policy.config.input_features before being passed to the model.","In the async path, the camera image appears to be resized to match policy.config.input_features before being passed to the model.",2026-02-17T11:25:51Z,2026-06-07T15:56:54Z,,4
github_issue::huggingface/lerobot::3636,LeRobot,huggingface/lerobot,issue,3636,open,SmolVLA Inference on Jetson Orin (ARM64) Produces Incorrect Results Despite Same Model Working on x86_64,https://github.com/huggingface/lerobot/issues/3636,deviation_and_factor,rollout_behavior_anomaly,observation_sensor_preprocessing,rollout_execution,rollout_behavior_anomaly,observation_sensor_preprocessing,rollout_execution,The robot executes seemingly random/unexpected movements instead of the intended task.,"On the Jetson, torchcodec is not available (cannot be installed on ARM64 + JetPack due to glibc / binary compatibility issues). LeRobot automatically falls back to pyav for video decoding.",The robot executes seemingly random/unexpected movements,2026-05-20T12:30:34Z,2026-05-20T12:30:46Z,,0
github_issue::huggingface/lerobot::2413,LeRobot,huggingface/lerobot,issue,2413,open,Question about so100_to_so100_EE: should I re-calibrate to let my real robot looks same to so101.urdf?,https://github.com/huggingface/lerobot/issues/2413,deviation_and_factor,rollout_behavior_anomaly,action_controller_interface,rollout_execution,rollout_behavior_anomaly,action_controller_interface,rollout_execution,"the inference results become really bad, the arm was doing non-sense movements, far different from the results during replay",I managed to tune the IK solver. And found that I needed to regularize the IK solver: ... The results became much better.,the inference results,2025-11-09T15:15:28Z,2026-04-14T03:20:15Z,,25
github_issue::huggingface/lerobot::3246,LeRobot,huggingface/lerobot,issue,3246,open,Trouble implementing eef in smolvla,https://github.com/huggingface/lerobot/issues/3246,deviation_and_factor,rollout_behavior_anomaly,action_controller_interface,rollout_execution,rollout_behavior_anomaly,action_controller_interface;unknown_or_not_specified,rollout_execution,the follower moves randomly before continuing to follow the recorded points.,"using `InverseKinematicsEEToJoints(kinematics=kinematics_solver, motor_names=list(robot.bus.motors.keys()), initial_guess_current_joints=False)`",when I try to replay these poses,2026-03-30T11:26:45Z,2026-04-08T04:55:11Z,,2
github_issue::huggingface/lerobot::1406,LeRobot,huggingface/lerobot,issue,1406,closed,PI0 policy suffers from weight/key mismatch on main when using transformers ≥ 4.52.0,https://github.com/huggingface/lerobot/issues/1406,deviation_and_factor,success_rate_drop_or_mismatch,checkpoint_config_compatibility,checkpoint_or_config_loading,success_rate_drop_or_mismatch;rollout_behavior_anomaly,checkpoint_config_compatibility,checkpoint_or_config_loading;rollout_execution,my trained pi0 is not work at well (sr=0).,"caused this bug. It will convert ""^language_model.model"" to ""model.language_model"" and so on.","kwargs[""strict""] = True in Line 168, lerobot/common/policies/factory.py",2025-06-30T09:43:20Z,2026-03-11T22:09:30Z,2026-03-11T22:09:30Z,38
github_issue::huggingface/lerobot::2402,LeRobot,huggingface/lerobot,issue,2402,closed,LIBERO reset env after setting an initial state,https://github.com/huggingface/lerobot/issues/2402,deviation_and_factor,setup_sensitive_result,reset_or_initial_state,environment_reset,setup_sensitive_result,reset_or_initial_state,environment_reset,"Seems like it is yielding a random ill state of the environment, thus making it unusable for evaluation.",the environment is reset after setting the initial state,"in `LiberoEnv.reset()` method, the environment is reset after setting the initial state",2025-11-07T08:01:34Z,2026-02-27T16:25:39Z,2026-02-27T16:25:39Z,2
github_issue::huggingface/lerobot::1270,LeRobot,huggingface/lerobot,issue,1270,closed,smolvla not work！,https://github.com/huggingface/lerobot/issues/1270,deviation_only,rollout_behavior_anomaly,unknown_or_not_specified,rollout_execution,rollout_behavior_anomaly,unknown_or_not_specified,rollout_execution,still keeps shaking and looping head movements at the initial position after 20k training steps,,keeps shaking and looping head movements at the initial position,2025-06-12T09:35:58Z,2026-02-24T02:58:05Z,2026-02-24T02:58:05Z,6
github_issue::huggingface/lerobot::2850,LeRobot,huggingface/lerobot,issue,2850,closed,Bug: `--eval.batch_size` unintentionally limits LIBERO environment diversity in `lerobot-eval`,https://github.com/huggingface/lerobot/issues/2850,deviation_and_factor,success_rate_drop_or_mismatch,evaluation_script_harness,environment_reset,success_rate_drop_or_mismatch;setup_sensitive_result,evaluation_script_harness,environment_reset,Now I get 91% which is more aligned with results reported by PI,the number of unique environment initial states is effectively capped at n,Only n initial states are ever evaluated,2026-01-23T20:30:49Z,2026-02-10T13:39:20Z,2026-02-10T13:39:20Z,4
github_issue::huggingface/lerobot::1341,LeRobot,huggingface/lerobot,issue,1341,closed,Support for Pi0-FAST Droid and Pi0 Droid variants,https://github.com/huggingface/lerobot/issues/1341,deviation_only,success_rate_drop_or_mismatch,unknown_or_not_specified,rollout_execution,success_rate_drop_or_mismatch;rollout_behavior_anomaly,unknown_or_not_specified,rollout_execution,the finetune result is not work at all than openpi official.,,,2025-06-17T19:30:37Z,2025-10-14T14:07:02Z,2025-10-14T14:07:02Z,2
github_issue::huggingface/lerobot::545,LeRobot,huggingface/lerobot,issue,545,closed,Poor success rate in complex scenarios,https://github.com/huggingface/lerobot/issues/545,deviation_only,rollout_behavior_anomaly,unknown_or_not_specified,rollout_execution,success_rate_drop_or_mismatch;rollout_behavior_anomaly,unknown_or_not_specified,rollout_execution,"When the lego piece is at the junction of the blocks, robot arm will stuck somewhere in the middle (e.g. in the middle of the blue and the green like below). if not intervening by relocating the state to somewhere model has seen, it will never get autocorrect.",,robot arm will stuck somewhere in the middle,2024-12-04T06:20:31Z,2025-10-08T08:28:45Z,2025-10-08T08:28:45Z,5
github_issue::huggingface/lerobot::1271,LeRobot,huggingface/lerobot,issue,1271,closed,Cannot run evaluation with real robot. (with `lerobot/record.py`),https://github.com/huggingface/lerobot/issues/1271,deviation_and_factor,evaluation_crash_or_failure,evaluation_script_harness,benchmark_or_eval_setup,evaluation_crash_or_failure;rollout_behavior_anomaly,evaluation_script_harness;unknown_or_not_specified,benchmark_or_eval_setup;rollout_execution,ValueError: Choose either a policy or a teleoperator to control the robot,it seemed to be False==False here,,2025-06-12T10:41:59Z,2025-06-26T07:25:04Z,2025-06-13T13:06:54Z,10
github_issue::huggingface/lerobot::1097,LeRobot,huggingface/lerobot,issue,1097,closed,UnboundLocalError: local variable 'action' referenced before assignment,https://github.com/huggingface/lerobot/issues/1097,deviation_only,evaluation_crash_or_failure,unknown_or_not_specified,rollout_execution,evaluation_crash_or_failure,unknown_or_not_specified,rollout_execution,UnboundLocalError: local variable 'action' referenced before assignment,,,2025-05-12T16:06:27Z,2025-06-19T14:08:57Z,2025-06-19T14:08:46Z,2
github_issue::huggingface/lerobot::3830,LeRobot,huggingface/lerobot,issue,3830,open,libero image observations need hflip,https://github.com/huggingface/lerobot/issues/3830,factor_only,unknown_or_not_applicable,observation_sensor_preprocessing,observation_processing,unknown_or_not_applicable,observation_sensor_preprocessing,observation_processing,,rollouts from the LeRobot-based LIBERO environment show a mirrored version of the robot,correct the image orientation,2026-06-16T19:55:59Z,2026-06-19T17:07:24Z,,2
github_issue::huggingface/lerobot::2354,LeRobot,huggingface/lerobot,issue,2354,open,Cannot reproduce SmolVLA results on LIBERO benchmark,https://github.com/huggingface/lerobot/issues/2354,deviation_and_factor,success_rate_drop_or_mismatch,checkpoint_config_compatibility,checkpoint_or_config_loading,success_rate_drop_or_mismatch,checkpoint_config_compatibility,checkpoint_or_config_loading,My reproduction 0.73 0.91 0.83 0.43,"the checkpoint https://huggingface.co/HuggingFaceVLA/smolvla_libero use `expert_width_multiplier=0.5`, and all 32 layers of smolvlm2, while in the paper it should use `expert_width_multiplier=0.75` and 16 layers.","the checkpoint https://huggingface.co/HuggingFaceVLA/smolvla_libero use `expert_width_multiplier=0.5`, and all 32 layers of smolvlm2, while in the paper it should use `expert_width_multiplier=0.75` and 16 layers.",2025-11-01T11:20:05Z,2026-06-12T06:54:02Z,,12
github_issue::huggingface/lerobot::3638,LeRobot,huggingface/lerobot,issue,3638,open,"pi05_libero_finetuned and pi05_libero_base get 0% success on LIBERO-10 with official lerobot-eval, while pi0_libero_finetuned works",https://github.com/huggingface/lerobot/issues/3638,deviation_and_factor,success_rate_drop_or_mismatch,checkpoint_config_compatibility,rollout_execution,success_rate_drop_or_mismatch;rollout_behavior_anomaly,checkpoint_config_compatibility,benchmark_or_eval_setup;rollout_execution,pc_success: 0.0,"This could have caused degradation of finetuned models, such as one for libero.",the rollout videos show biased and non-task-directed behavior,2026-05-20T18:37:28Z,2026-05-22T08:54:15Z,,1
github_issue::huggingface/lerobot::2605,LeRobot,huggingface/lerobot,issue,2605,open,ACT policy lower than expected performance in aloha-gym,https://github.com/huggingface/lerobot/issues/2605,deviation_only,success_rate_drop_or_mismatch,unknown_or_not_specified,benchmark_or_eval_setup,success_rate_drop_or_mismatch,unknown_or_not_specified,benchmark_or_eval_setup,"However, in the latest version of lerobot, I do not reach this level of performance. I have tried on 2 different machines and come to the same result",,When I run evaluation over 500 episodes using this policy I get success rates around 50-60%.,2025-12-08T17:08:22Z,2026-05-16T05:15:35Z,,10
github_issue::huggingface/lerobot::2851,LeRobot,huggingface/lerobot,issue,2851,open,Robot doesn't move during inference when using validation split during training,https://github.com/huggingface/lerobot/issues/2851,deviation_and_factor,rollout_behavior_anomaly,training_evaluation_interaction,rollout_execution,rollout_behavior_anomaly,training_evaluation_interaction,rollout_execution,"robot doesn't move, actions seem to be near zero",the dataset still loads the normalization stats from info.json which were computed on all 301 episodes,at inference: robot doesn't move,2026-01-24T06:39:25Z,2026-05-08T16:18:01Z,,3
github_issue::huggingface/lerobot::3098,LeRobot,huggingface/lerobot,issue,3098,open,libero/smolvla: add low-VRAM 2-process evaluation path for <=8GB GPUs,https://github.com/huggingface/lerobot/issues/3098,deviation_and_factor,evaluation_crash_or_failure,simulator_physics_rendering,environment_reset,evaluation_crash_or_failure,simulator_physics_rendering,environment_reset,the default single-process path fails during evaluation setup on an 8GB GPU,the PyTorch CUDA context and the EGL rendering context compete for limited GPU memory,causes the evaluation to fail during environment initialization,2026-03-06T15:30:44Z,2026-04-29T23:50:22Z,,2
github_issue::huggingface/lerobot::2207,LeRobot,huggingface/lerobot,issue,2207,closed,Training loss unmatched with test performance using SmolVLA with LIBERO-Spatial,https://github.com/huggingface/lerobot/issues/2207,deviation_only,success_rate_drop_or_mismatch,unknown_or_not_specified,rollout_execution,success_rate_drop_or_mismatch,unknown_or_not_specified,rollout_execution,the success rate was always 0 across all the 10 tasks,,,2025-10-15T02:02:41Z,2026-04-27T03:00:46Z,2026-04-27T03:00:46Z,2
github_issue::huggingface/lerobot::3287,LeRobot,huggingface/lerobot,issue,3287,open,"Inquiry about Training Configurations (Batch Size, LR, Commit Hash) for Replicating SmolVLA on LIBERO Benchmark",https://github.com/huggingface/lerobot/issues/3287,deviation_only,success_rate_drop_or_mismatch,unknown_or_not_specified,benchmark_or_eval_setup,success_rate_drop_or_mismatch,unknown_or_not_specified,benchmark_or_eval_setup,"My evaluation results (batch size 64, 100k steps, 10 episodes per task): ... * libero_10 (Long): 44.8% (paper: ~71%) ... * libero_spatial: 83.0% (paper: ~90%) ... * libero_object: 70.0% (paper: ~96%) ... * libero_goal: 70.0% (paper: ~92%)",,,2026-04-05T19:10:28Z,2026-04-21T22:56:24Z,,0
github_issue::huggingface/lerobot::3122,LeRobot,huggingface/lerobot,issue,3122,closed,Groot freezing and Pi0.5 accuracy issues (v0.5.0),https://github.com/huggingface/lerobot/issues/3122,deviation_and_factor,success_rate_drop_or_mismatch,checkpoint_config_compatibility,benchmark_or_eval_setup,success_rate_drop_or_mismatch;evaluation_crash_or_failure,checkpoint_config_compatibility,benchmark_or_eval_setup;checkpoint_or_config_loading,"for pi0.5: (only got 0.88, should be ~0.98)","In v0.5.0, we had to fix two issues : ... As a consequence, the checkpoints and fine-tuned weights obtained in v.04.4 will no longer work as expected in v.0.5.0.",The process stalls indefinitely during evaluation.,2026-03-10T01:06:45Z,2026-04-14T11:09:20Z,2026-04-14T11:09:20Z,7
github_issue::huggingface/lerobot::2906,LeRobot,huggingface/lerobot,issue,2906,closed,INVALID Libero spatial environment (task 5),https://github.com/huggingface/lerobot/issues/2906,deviation_only,success_rate_drop_or_mismatch,unknown_or_not_specified,benchmark_or_eval_setup,success_rate_drop_or_mismatch,unknown_or_not_specified,benchmark_or_eval_setup,"the initial state for the plates are extremely different, so that my policy could not success in this env.",,"When I try to evaluate the policy on libero spatial environment, only the libero spatial 5 occurs some invalid env for the evaluation.",2026-02-05T05:14:09Z,2026-03-06T08:33:59Z,2026-02-09T06:01:06Z,1
github_issue::huggingface/lerobot::1766,LeRobot,huggingface/lerobot,issue,1766,closed,Slave arm running lagged,https://github.com/huggingface/lerobot/issues/1766,deviation_only,rollout_behavior_anomaly,unknown_or_not_specified,rollout_execution,rollout_behavior_anomaly,unknown_or_not_specified,rollout_execution,"during evaluation sessions, the slave arm running lagged",,during evaluation sessions,2025-08-21T07:54:26Z,2026-03-06T02:53:37Z,2026-03-06T02:53:37Z,3
github_issue::huggingface/lerobot::2427,LeRobot,huggingface/lerobot,issue,2427,open,Error with image features LeRobot 0.4.1,https://github.com/huggingface/lerobot/issues/2427,deviation_only,evaluation_crash_or_failure,unknown_or_not_specified,rollout_execution,evaluation_crash_or_failure,unknown_or_not_specified,rollout_execution,KeyError: 'observation.images.left',,predict_action,2025-11-11T23:02:35Z,2026-02-27T16:11:05Z,,2
github_issue::huggingface/lerobot::2542,LeRobot,huggingface/lerobot,issue,2542,closed,Evaluation Failed,https://github.com/huggingface/lerobot/issues/2542,deviation_only,evaluation_crash_or_failure,unknown_or_not_specified,environment_reset,evaluation_crash_or_failure;rollout_behavior_anomaly,unknown_or_not_specified,environment_reset;rollout_execution,"No policy or teleoperator provided, skipping action generation.",,resetting the environment without a teleop device.,2025-11-28T08:48:16Z,2026-02-27T14:05:20Z,2026-02-27T14:05:20Z,2
github_issue::huggingface/lerobot::850,LeRobot,huggingface/lerobot,issue,850,closed,"draccus.utils.DecodingError due to The fields `device`, `use_amp` are not valid for ACTConfig in PreTrainedConfig",https://github.com/huggingface/lerobot/issues/850,deviation_and_factor,evaluation_crash_or_failure,checkpoint_config_compatibility,checkpoint_or_config_loading,evaluation_crash_or_failure,checkpoint_config_compatibility,checkpoint_or_config_loading,"When I used the following command to evaluate a trained model, I ran into a `draccus.utils.DecodingError`",Delete the following two items from the `config.json` of the `pretrained_model`,"File ""/home/binliu/lerobot/lerobot/configs/policies.py"", line 145, in from_pretrained",2025-03-12T07:20:06Z,2026-02-25T02:57:55Z,2026-02-25T02:57:55Z,4
github_issue::huggingface/lerobot::1329,LeRobot,huggingface/lerobot,issue,1329,closed,Size mismatch error when evaluating a fine-tuned VLA model,https://github.com/huggingface/lerobot/issues/1329,deviation_and_factor,evaluation_crash_or_failure,checkpoint_config_compatibility,checkpoint_or_config_loading,evaluation_crash_or_failure,checkpoint_config_compatibility,checkpoint_or_config_loading,"RuntimeError: Error(s) in loading state_dict for SmolVLAPolicy: size mismatch for normalize_inputs.buffer_observation_state.mean: copying a param with shape torch.Size([32]) from checkpoint, the shape in current model is torch.Size([6]).","If you used merge.py script. You need to select the correct max_depth. For a single arm it’s 6, by default it’s 32.",tried to evaluate the fined-tuned model but the following error is triggered,2025-06-16T20:53:19Z,2026-02-25T02:57:47Z,2026-02-25T02:57:47Z,4
